,company,transmission,fuel,seller_type,owner,year,km_driven,selling_price
2102,datsun redigo,Manual,Petrol,Individual,First Owner,2016,22000,270000
2103,honda wr-v,Manual,Diesel,Individual,First Owner,2017,140000,650000
2104,hyundai i20,Manual,Diesel,Individual,Second Owner,2014,80000,370000
2105,maruti swift,Manual,Diesel,Individual,First Owner,2016,40000,509999
2106,maruti zen,Manual,Petrol,Individual,First Owner,2011,33000,280000
2107,maruti a-star,Manual,Petrol,Individual,First Owner,2010,40000,180000
2108,renault kwid,Manual,Petrol,Individual,First Owner,2018,10500,300000
2109,mahindra bolero,Manual,Diesel,Individual,First Owner,2013,107000,400000
2110,hyundai i10,Manual,Petrol,Individual,Second Owner,2010,60000,210000
2111,hyundai santro,Manual,Petrol,Individual,Second Owner,2006,120000,90000
2112,maruti wagon,Manual,Petrol,Individual,First Owner,2010,70000,222000
2113,maruti alto,Manual,Petrol,Individual,Second Owner,2015,50000,240000
2114,toyota etios,Manual,Diesel,Individual,Second Owner,2013,70000,450000
2115,ford ecosport,Manual,Petrol,Individual,First Owner,2017,6000,650000
2116,hyundai verna,Manual,Diesel,Dealer,Second Owner,2010,78000,200000
2117,hyundai verna,Manual,Diesel,Dealer,Third Owner,2011,72000,210000
2118,tata nano,Manual,Petrol,Dealer,First Owner,2011,9528,75000
2119,toyota innova,Manual,Diesel,Dealer,First Owner,2011,135200,450000
2120,hyundai i20,Manual,Petrol,Dealer,Second Owner,2011,58000,220000
2121,hyundai i20,Manual,Diesel,Dealer,Second Owner,2013,78000,325000
2122,tata zest,Manual,Petrol,Individual,First Owner,2018,45000,450000
2123,ford ecosport,Manual,Diesel,Individual,First Owner,2017,35000,825000
2124,hyundai accent,Manual,Petrol,Dealer,Third Owner,2007,76000,125000
2125,mahindra xylo,Manual,Diesel,Individual,Third Owner,2015,100000,434999
2126,mahindra scorpio,Manual,Diesel,Individual,Second Owner,2011,99000,484999
2127,maruti ritz,Manual,Diesel,Individual,Third Owner,2009,80000,175000
2128,honda civic,Manual,Petrol,Individual,Third Owner,2006,120000,220000
2129,honda br-v,Manual,Petrol,Dealer,First Owner,2020,1100,1250000
2130,maruti omni,Manual,Petrol,Dealer,First Owner,2017,34000,215000
2131,mahindra xuv500,Manual,Diesel,Dealer,First Owner,2014,68000,625000
2132,ford ecosport,Manual,Diesel,Individual,First Owner,2018,15000,615000
2133,chevrolet beat,Manual,Diesel,Dealer,First Owner,2012,58000,130000
2134,tata indigo,Manual,Diesel,Individual,First Owner,2013,50300,175000
2135,tata indigo,Manual,Diesel,Individual,Second Owner,2011,70000,150000
2136,tata indica,Manual,Diesel,Individual,Third Owner,2011,60000,195000
2137,maruti ertiga,Manual,Diesel,Individual,First Owner,2020,90000,550000
2138,isuzu d-max,Manual,Diesel,Individual,First Owner,2018,40000,1500000
2139,skoda superb,Manual,Petrol,Individual,Second Owner,2010,80000,400000
2140,nissan kicks,Manual,Diesel,Individual,First Owner,2019,15000,1350000
2141,maruti swift,Manual,Petrol,Individual,First Owner,2015,45000,217000
2142,maruti swift,Manual,Diesel,Individual,Second Owner,2011,130000,290000
2143,mahindra bolero,Manual,Diesel,Individual,First Owner,2018,80000,700000
2144,maruti alto,Manual,Petrol,Individual,First Owner,2014,40000,175000
2145,volkswagen ameo,Manual,Diesel,Individual,First Owner,2017,80000,575000
2146,maruti ritz,Manual,Diesel,Individual,Second Owner,2016,100000,380000
2147,mahindra xylo,Manual,Diesel,Individual,Second Owner,2013,151624,350000
2148,renault duster,Manual,Diesel,Individual,First Owner,2012,160000,450000
2149,hyundai santro,Manual,CNG,Individual,Second Owner,2005,110000,130000
2150,maruti swift,Manual,Diesel,Individual,First Owner,2015,74820,320000
2151,mahindra xuv500,Manual,Diesel,Individual,First Owner,2014,82000,550000
2152,maruti wagon,Manual,Petrol,Individual,Second Owner,2015,50000,370000
2153,chevrolet beat,Manual,Petrol,Individual,Second Owner,2010,70000,114999
2154,ford ecosport,Manual,Petrol,Individual,First Owner,2020,1000,1100000
2155,hyundai tucson,Manual,Diesel,Individual,First Owner,2006,170000,170000
2156,tata indigo,Manual,Diesel,Individual,Third Owner,2008,150000,80000
2157,ford ecosport,Manual,Diesel,Individual,First Owner,2019,17000,950000
2158,maruti swift,Manual,Diesel,Individual,First Owner,2014,150000,425000
2159,hyundai i20,Manual,Diesel,Individual,First Owner,2015,80000,500000
2160,hyundai santro,Manual,Petrol,Individual,Third Owner,2005,170000,70000
2161,honda amaze,Manual,Diesel,Individual,First Owner,2013,120000,349000
2162,hyundai i20,Manual,Petrol,Individual,Third Owner,2012,90000,330000
2163,hyundai santro,Manual,Petrol,Individual,Third Owner,2010,90000,120000
2164,hyundai verna,Manual,Diesel,Individual,Second Owner,2013,100000,430000
2165,maruti swift,Manual,Diesel,Individual,First Owner,2014,90000,390000
2166,nissan micra,Manual,Diesel,Individual,First Owner,2012,129000,225000
2167,mahindra scorpio,Automatic,Diesel,Individual,Second Owner,2010,186000,350000
2168,tata sumo,Manual,Diesel,Individual,First Owner,2009,66778,100000
2169,hyundai eon,Manual,Petrol,Individual,First Owner,2014,50000,190000
2170,hyundai i20,Manual,Diesel,Individual,Second Owner,2014,110000,315000
2171,hyundai grand,Manual,Diesel,Individual,Second Owner,2015,60000,300000
2172,renault kwid,Manual,Petrol,Individual,First Owner,2016,40000,280000
2173,hyundai tucson,Manual,Diesel,Dealer,First Owner,2017,55000,1650000
2174,hyundai eon,Manual,Petrol,Dealer,Second Owner,2015,21000,295000
2175,jaguar xf,Automatic,Petrol,Dealer,Second Owner,2012,66363,2050000
2176,hyundai creta,Automatic,Petrol,Dealer,First Owner,2018,11700,1475000
2177,hyundai verna,Automatic,Petrol,Individual,First Owner,2017,10000,1100000
2178,mercedes-benz gl-class,Automatic,Diesel,Individual,Second Owner,2014,100000,4400000
2179,maruti swift,Manual,Petrol,Trustmark Dealer,First Owner,2016,7104,670000
2180,maruti s-cross,Manual,Diesel,Trustmark Dealer,First Owner,2015,45974,750000
2181,hyundai verna,Manual,Petrol,Trustmark Dealer,First Owner,2015,55340,760000
2182,volkswagen polo,Automatic,Petrol,Dealer,Second Owner,2017,20000,850000
2183,renault pulse,Manual,Diesel,Trustmark Dealer,First Owner,2015,61585,390000
2184,maruti celerio,Automatic,Petrol,Trustmark Dealer,Second Owner,2016,39415,450000
2185,honda brio,Manual,Petrol,Trustmark Dealer,First Owner,2014,29654,425000
2186,maruti baleno,Manual,Diesel,Trustmark Dealer,First Owner,2016,64672,770000
2187,hyundai creta,Automatic,Diesel,Trustmark Dealer,Second Owner,2015,54634,1150000
2188,honda city,Manual,Petrol,Trustmark Dealer,First Owner,2015,66521,775000
2189,hyundai elite,Automatic,Petrol,Individual,First Owner,2019,3000,720000
2190,toyota innova,Automatic,Diesel,Dealer,Second Owner,2018,23974,1725000
2191,tata tiago,Manual,Petrol,Individual,First Owner,2018,10000,539000
2192,maruti celerio,Manual,Petrol,Individual,First Owner,2017,50000,420000
2193,maruti omni,Manual,Petrol,Individual,Third Owner,2001,70000,85000
2194,opelcorsa 1.6gls,Manual,Petrol,Individual,Fourth & Above Owner,2004,73000,142000
2195,hyundai eon,Manual,Petrol,Individual,Second Owner,2014,76000,180000
2196,chevrolet tavera,Manual,Diesel,Individual,Second Owner,2014,120000,400000
2197,mahindra scorpio,Automatic,Diesel,Individual,Third Owner,2009,170000,360000
2198,hyundai santro,Manual,Petrol,Individual,Second Owner,2003,110000,85000
2199,honda brio,Manual,Petrol,Individual,First Owner,2016,63400,350000
2200,datsun go,Manual,Petrol,Individual,First Owner,2015,25000,380000
2201,hyundai i10,Manual,Petrol,Individual,Third Owner,2009,80000,140000
2202,maruti wagon,Manual,Petrol,Individual,First Owner,2012,90000,200000
2203,hyundai santro,Manual,Petrol,Individual,First Owner,2011,157000,150000
2204,tata indica,Manual,Diesel,Individual,Second Owner,2012,80000,150000
2205,maruti 800,Manual,Petrol,Individual,Second Owner,2006,40000,90000
2206,mahindra bolero,Manual,Diesel,Individual,Second Owner,2007,100000,300000
2207,renault kwid,Manual,Petrol,Individual,First Owner,2017,50000,280000
2208,maruti alto,Manual,Petrol,Individual,First Owner,2011,40000,200000
2209,chevrolet aveo,Manual,Petrol,Individual,Second Owner,2009,38500,110000
2210,hyundai i10,Manual,Petrol,Individual,Second Owner,2008,103921,140000
2211,hyundai creta,Manual,Diesel,Individual,First Owner,2020,10000,1050000
2212,honda city,Manual,Petrol,Dealer,First Owner,2018,14825,1150000
2213,honda br-v,Manual,Diesel,Dealer,First Owner,2016,43377,910000
2214,ford figo,Manual,Diesel,Dealer,First Owner,2010,102307,160000
2215,maruti zen,Manual,Petrol,Individual,Second Owner,2004,79000,105000
2216,skoda octavia,Automatic,Diesel,Individual,Third Owner,2014,135000,1200000
2217,renault kwid,Manual,Petrol,Individual,First Owner,2018,10500,300000
2218,maruti wagon,Manual,Petrol,Individual,Fourth & Above Owner,2004,90000,70000
2219,chevrolet beat,Manual,Diesel,Individual,First Owner,2012,110000,160000
2220,chevrolet beat,Manual,Diesel,Individual,First Owner,2012,50000,160000
2221,chevrolet sail,Manual,Diesel,Individual,First Owner,2013,80000,225000
2222,honda jazz,Manual,Diesel,Dealer,First Owner,2018,19571,790000
2223,honda city,Manual,Petrol,Individual,First Owner,2002,100000,145000
2224,honda city,Manual,Petrol,Dealer,First Owner,2018,29600,1200000
2225,ford ecosport,Manual,Diesel,Individual,First Owner,2018,20000,930000
2226,hyundai eon,Manual,Petrol,Individual,First Owner,2016,30000,210000
2227,hyundai getz,Manual,Diesel,Individual,Third Owner,2008,154000,110000
2228,maruti swift,Manual,Petrol,Individual,First Owner,2011,70000,175000
2229,maruti vitara,Automatic,Diesel,Individual,First Owner,2018,15000,950000
2230,renault lodgy,Manual,Diesel,Individual,First Owner,2017,40000,650000
2231,maruti swift,Manual,Petrol,Individual,First Owner,2019,51000,550000
2232,maruti alto,Manual,Petrol,Individual,Second Owner,2008,120000,85000
2233,maruti celerio,Manual,Petrol,Individual,First Owner,2019,50000,340000
2234,renault captur,Manual,Diesel,Individual,First Owner,2017,13500,825000
2235,toyota etios,Manual,Petrol,Individual,First Owner,2016,35000,509999
2236,renault duster,Manual,Diesel,Dealer,Second Owner,2013,1000,450000
2237,mercedes-benz c-class,Automatic,Diesel,Dealer,First Owner,2018,10000,3800000
2238,audi a4,Automatic,Diesel,Dealer,First Owner,2013,86000,1580000
2239,bmw x5,Automatic,Diesel,Dealer,First Owner,2019,30000,4950000
2240,hyundai creta,Manual,Diesel,Individual,First Owner,2016,52600,535000
2241,maruti sx4,Manual,Petrol,Individual,Second Owner,2012,110000,225000
2242,hyundai grand,Automatic,Petrol,Dealer,First Owner,2017,19890,550000
2243,maruti swift,Manual,Petrol,Trustmark Dealer,First Owner,2016,7104,670000
2244,maruti ertiga,Manual,Petrol,Trustmark Dealer,First Owner,2015,11918,625000
2245,hyundai grand,Automatic,Petrol,Dealer,First Owner,2017,10510,520000
2246,chevrolet beat,Manual,Petrol,Dealer,First Owner,2016,41000,239000
2247,toyota fortuner,Automatic,Diesel,Trustmark Dealer,First Owner,2017,47162,2600000
2248,maruti s-cross,Manual,Diesel,Trustmark Dealer,First Owner,2015,45974,750000
2249,hyundai i10,Manual,Petrol,Dealer,First Owner,2012,49824,229999
2250,audi a6,Automatic,Diesel,Dealer,First Owner,2013,58500,1300000
2251,hyundai santro,Manual,Petrol,Dealer,First Owner,2005,56580,80000
2252,skoda laura,Manual,Diesel,Dealer,First Owner,2012,52000,385000
2253,hyundai verna,Manual,Petrol,Trustmark Dealer,First Owner,2015,55340,760000
2254,maruti swift,Manual,Diesel,Trustmark Dealer,First Owner,2017,46507,600000
2255,renault duster,Manual,Diesel,Dealer,Second Owner,2013,1000,450000
2256,mercedes-benz c-class,Automatic,Diesel,Dealer,First Owner,2018,10000,3800000
2257,audi a4,Automatic,Diesel,Dealer,First Owner,2013,86000,1580000
2258,bmw x5,Automatic,Diesel,Dealer,First Owner,2019,30000,4950000
2259,hyundai creta,Manual,Diesel,Individual,First Owner,2016,52600,535000
2260,maruti sx4,Manual,Petrol,Individual,Second Owner,2012,110000,225000
2261,hyundai grand,Automatic,Petrol,Dealer,First Owner,2017,19890,550000
2262,maruti swift,Manual,Petrol,Trustmark Dealer,First Owner,2016,7104,670000
2263,maruti ertiga,Manual,Petrol,Trustmark Dealer,First Owner,2015,11918,625000
2264,hyundai grand,Automatic,Petrol,Dealer,First Owner,2017,10510,520000
2265,chevrolet beat,Manual,Petrol,Dealer,First Owner,2016,41000,239000
2266,toyota fortuner,Automatic,Diesel,Trustmark Dealer,First Owner,2017,47162,2600000
2267,maruti s-cross,Manual,Diesel,Trustmark Dealer,First Owner,2015,45974,750000
2268,hyundai i10,Manual,Petrol,Dealer,First Owner,2012,49824,229999
2269,audi a6,Automatic,Diesel,Dealer,First Owner,2013,58500,1300000
2270,hyundai santro,Manual,Petrol,Dealer,First Owner,2005,56580,80000
2271,skoda laura,Manual,Diesel,Dealer,First Owner,2012,52000,385000
2272,hyundai verna,Manual,Petrol,Trustmark Dealer,First Owner,2015,55340,760000
2273,maruti swift,Manual,Diesel,Trustmark Dealer,First Owner,2017,46507,600000
2274,maruti baleno,Manual,Diesel,Individual,First Owner,2017,70000,650000
2275,chevrolet spark,Manual,Petrol,Individual,Second Owner,2011,60000,140000
2276,maruti alto,Manual,Petrol,Individual,First Owner,2011,70000,150000
2277,datsun go,Manual,Petrol,Individual,Second Owner,2018,10000,450000
2278,hyundai accent,Manual,Diesel,Individual,Fourth & Above Owner,2006,245244,170000
2279,renault kwid,Manual,Petrol,Individual,First Owner,2017,60000,400000
2280,tata tiago,Manual,Petrol,Individual,First Owner,2016,30000,300000
2281,maruti alto,Manual,Petrol,Individual,First Owner,2012,8000,250000
2282,tata tigor,Manual,Petrol,Individual,First Owner,2019,10000,500000
2283,hyundai accent,Manual,Diesel,Individual,Third Owner,2002,100000,85000
2284,nissan sunny,Manual,Diesel,Individual,First Owner,2012,110000,300000
2285,hyundai santro,Manual,Petrol,Dealer,First Owner,2005,56580,80000
2286,mahindra xuv500,Automatic,Diesel,Dealer,First Owner,2015,45000,740000
2287,hyundai santro,Manual,Petrol,Dealer,First Owner,2005,68500,70000
2288,hyundai santro,Automatic,Petrol,Dealer,First Owner,2019,5007,484999
2289,nissan micra,Manual,Petrol,Individual,First Owner,2013,30000,164000
2290,honda city,Automatic,Petrol,Individual,First Owner,2008,70000,140000
2291,mercedes-benz e-class,Automatic,Diesel,Dealer,First Owner,2011,49600,999000
2292,maruti alto,Manual,Petrol,Individual,Second Owner,2005,23000,56000
2293,bmw 7,Automatic,Diesel,Dealer,First Owner,2006,30000,1050000
2294,hyundai verna,Manual,Petrol,Dealer,First Owner,2010,38000,190000
2295,audi q5,Automatic,Diesel,Dealer,First Owner,2018,22000,3899000
2296,hyundai i10,Manual,Petrol,Dealer,First Owner,2011,43100,235000
2297,datsun go,Manual,Petrol,Dealer,First Owner,2017,10171,350000
2298,renault duster,Manual,Diesel,Dealer,First Owner,2015,41123,465000
2299,toyota camry,Automatic,Petrol,Dealer,First Owner,2017,20118,1900000
2300,honda city,Manual,Diesel,Dealer,First Owner,2014,40000,450000
2301,volkswagen jetta,Manual,Diesel,Dealer,First Owner,2015,52517,790000
2302,mahindra marazzo,Manual,Diesel,Individual,First Owner,2019,20000,900000
2303,ford ecosport,Manual,Diesel,Dealer,First Owner,2014,99117,450000
2304,chevrolet spark,Manual,Petrol,Individual,First Owner,2009,90000,135000
2305,maruti celerio,Manual,Petrol,Individual,First Owner,2019,3700,425000
2306,tata indica,Manual,Diesel,Individual,First Owner,2010,80000,100000
2307,ford ecosport,Manual,Diesel,Individual,Second Owner,2015,100000,650000
2308,tata indica,Manual,Diesel,Individual,First Owner,2011,54000,90000
2309,hyundai eon,Manual,Petrol,Individual,First Owner,2017,19000,250000
2310,maruti swift,Manual,Diesel,Individual,First Owner,2014,120000,300000
2311,maruti wagon,Manual,Petrol,Individual,First Owner,2014,30000,275000
2312,honda brv,Manual,Petrol,Individual,First Owner,2017,43500,600000
2313,renault kwid,Manual,Petrol,Individual,Second Owner,2016,60000,270000
2314,renault kwid,Manual,Petrol,Individual,Second Owner,2016,70000,240000
2315,skoda octavia,Automatic,Diesel,Individual,Third Owner,2014,135000,1200000
2316,chevrolet beat,Manual,Diesel,Individual,First Owner,2012,50000,160000
2317,honda jazz,Manual,Diesel,Dealer,First Owner,2018,19571,790000
2318,honda city,Manual,Petrol,Dealer,First Owner,2018,29600,1200000
2319,maruti swift,Manual,Petrol,Individual,First Owner,2011,70000,175000
2320,maruti vitara,Automatic,Diesel,Individual,First Owner,2018,15000,950000
2321,maruti celerio,Manual,Petrol,Individual,First Owner,2019,50000,340000
2322,renault captur,Manual,Diesel,Individual,First Owner,2017,13500,825000
2323,audi a4,Automatic,Petrol,Individual,First Owner,2018,22000,3100000
2324,honda amaze,Manual,Diesel,Dealer,First Owner,2018,25000,780000
2325,toyota corolla,Automatic,Petrol,Individual,Third Owner,2010,80000,350000
2326,honda amaze,Manual,Petrol,Dealer,First Owner,2018,39000,690000
2327,maruti alto,Manual,Petrol,Individual,First Owner,2016,60000,245000
2328,honda amaze,Manual,Diesel,Dealer,First Owner,2018,49000,790000
2329,honda amaze,Manual,Petrol,Dealer,First Owner,2018,48600,680000
2330,hyundai grand,Manual,Petrol,Individual,Second Owner,2017,20000,540000
2331,mahindra kuv,Manual,Petrol,Individual,First Owner,2016,25000,425000
2332,maruti zen,Manual,Petrol,Individual,First Owner,2008,120000,140000
2333,maruti ertiga,Manual,Diesel,Individual,First Owner,2019,30000,1100000
2334,renault lodgy,Manual,Diesel,Individual,First Owner,2015,35000,715000
2335,maruti swift,Manual,Petrol,Individual,First Owner,2013,90000,370000
2336,hyundai verna,Manual,Diesel,Individual,Second Owner,2007,80000,175000
2337,mercedes-benz e-class,Automatic,Petrol,Individual,Second Owner,1998,35000,1000000
2338,maruti alto,Manual,Petrol,Individual,Second Owner,2013,25000,92800
2339,tata xenon,Manual,Diesel,Individual,First Owner,2014,90000,291000
2340,maruti alto,Manual,Petrol,Individual,Second Owner,2013,25000,92800
2341,renault kwid,Manual,Petrol,Individual,First Owner,2016,20000,350000
2342,maruti omni,Manual,Petrol,Dealer,Third Owner,1998,60000,65000
2343,maruti swift,Manual,Diesel,Individual,First Owner,2015,58000,650000
2344,maruti wagon,Manual,Petrol,Dealer,First Owner,2014,40000,350000
2345,maruti wagon,Manual,Petrol,Individual,Second Owner,2005,70000,75000
2346,hyundai i20,Manual,Diesel,Dealer,First Owner,2012,70000,440000
2347,hyundai santro,Manual,Petrol,Individual,First Owner,2013,60000,270000
2348,toyota innova,Manual,Diesel,Dealer,First Owner,2014,135000,1150000
2349,maruti omni,Manual,Petrol,Dealer,First Owner,2015,70000,238000
2350,mercedes-benz b,Automatic,Petrol,Individual,Second Owner,2013,40000,1100000
2351,mahindra xuv500,Manual,Diesel,Dealer,Second Owner,2015,75000,1200000
2352,skoda fabia,Manual,Diesel,Individual,First Owner,2010,150000,260000
2353,toyota etios,Manual,Diesel,Individual,Third Owner,2012,140000,350000
2354,toyota etios,Manual,Diesel,Individual,First Owner,2015,70000,480000
2355,toyota etios,Manual,Diesel,Individual,Second Owner,2012,137250,345000
2356,mahindra scorpio,Manual,Diesel,Individual,Second Owner,2013,110000,500000
2357,hyundai grand,Manual,Petrol,Dealer,First Owner,2017,27000,595000
2358,hyundai verna,Manual,Diesel,Dealer,First Owner,2019,9000,1295000
2359,volkswagen vento,Manual,Diesel,Dealer,Test Drive Car,2019,5400,1350000
2360,renault kwid,Manual,Petrol,Dealer,Test Drive Car,2020,1000,541000
2361,hyundai santro,Manual,Petrol,Dealer,First Owner,2018,16000,515000
2362,ford figo,Manual,Diesel,Dealer,Test Drive Car,2019,13000,894999
2363,renault pulse,Manual,Diesel,Dealer,First Owner,2012,47000,325000
2364,maruti ciaz,Manual,Petrol,Individual,First Owner,2018,22000,925000
2365,nissan terrano,Manual,Petrol,Individual,First Owner,2017,30000,844999
2366,maruti ciaz,Manual,Petrol,Individual,First Owner,2018,20000,925000
2367,tata manza,Manual,Diesel,Individual,First Owner,2013,60000,300000
2368,toyota camry,Manual,Petrol,Individual,Second Owner,2008,75000,650000
2369,maruti alto,Manual,Petrol,Dealer,First Owner,2010,64000,175000
2370,maruti sx4,Manual,Diesel,Individual,First Owner,2015,80000,325000
2371,renault duster,Manual,Diesel,Individual,First Owner,2017,90000,600000
2372,maruti swift,Manual,Petrol,Individual,First Owner,2018,30000,700000
2373,toyota corolla,Automatic,Petrol,Individual,Second Owner,2003,120000,95000
2374,maruti celerio,Manual,Petrol,Dealer,First Owner,2019,20000,490000
2375,tata safari,Manual,Diesel,Individual,First Owner,2013,100000,380000
2376,hyundai grand,Manual,Petrol,Dealer,First Owner,2018,31000,550000
2377,maruti alto,Manual,Petrol,Dealer,First Owner,2013,47000,225000
2378,tata nexon,Manual,Petrol,Individual,First Owner,2018,11200,570000
2379,maruti alto,Manual,Petrol,Dealer,First Owner,2018,35000,305000
2380,maruti wagon,Manual,LPG,Dealer,First Owner,2010,50000,240000
2381,maruti ertiga,Manual,Diesel,Dealer,First Owner,2015,55000,700000
2382,maruti omni,Manual,Petrol,Dealer,First Owner,2018,20000,288000
2383,mahindra bolero,Manual,Diesel,Dealer,First Owner,2017,75000,800000
2384,maruti celerio,Manual,Petrol,Dealer,First Owner,2017,93000,430000
2385,chevrolet beat,Manual,Diesel,Dealer,Second Owner,2009,57000,195000
2386,maruti eeco,Manual,Petrol,Dealer,First Owner,2014,30000,325000
2387,renault duster,Manual,Diesel,Dealer,First Owner,2013,73000,450000
2388,maruti swift,Manual,Diesel,Dealer,First Owner,2016,65000,630000
2389,maruti swift,Manual,Petrol,Dealer,Second Owner,2009,62000,250000
2390,hyundai santro,Manual,Petrol,Dealer,First Owner,2007,85000,135000
2391,chevrolet spark,Manual,Petrol,Individual,First Owner,2010,73000,110000
2392,maruti swift,Manual,Diesel,Dealer,First Owner,2012,55000,350000
2393,maruti omni,Manual,Petrol,Individual,Second Owner,2016,5800,240000
2394,toyota innova,Manual,Diesel,Individual,First Owner,2009,350000,350000
2395,maruti swift,Manual,Petrol,Individual,First Owner,2018,30000,600000
2396,maruti swift,Manual,Diesel,Individual,First Owner,2018,20000,750000
2397,hyundai eon,Manual,Petrol,Individual,First Owner,2018,20000,270000
2398,maruti alto,Manual,Petrol,Individual,Second Owner,2007,100000,90000
2399,maruti wagon,Manual,Petrol,Individual,First Owner,2013,65000,350000
2400,ford figo,Manual,Diesel,Individual,Second Owner,2013,90000,285000
2401,toyota innova,Manual,Diesel,Individual,Second Owner,2011,267000,665000
2402,mahindra scorpio,Manual,Diesel,Individual,Second Owner,2005,250000,175000
2403,mahindra xylo,Manual,Diesel,Individual,Second Owner,2011,140000,350000
2404,honda city,Automatic,Petrol,Dealer,First Owner,2018,22000,1225000
2405,honda jazz,Manual,Petrol,Dealer,Second Owner,2010,60000,285000
2406,honda city,Manual,Petrol,Dealer,First Owner,2018,28635,1000000
2407,honda amaze,Manual,Diesel,Dealer,First Owner,2018,32114,780000
2408,maruti celerio,Manual,Petrol,Dealer,Second Owner,2014,82000,300000
2409,maruti swift,Manual,Petrol,Dealer,Second Owner,2006,95149,160000
2410,honda amaze,Manual,Petrol,Dealer,First Owner,2018,68458,625000
2411,maruti ritz,Manual,Petrol,Individual,First Owner,2010,42000,265000
2412,honda city,Manual,Diesel,Individual,Second Owner,2014,90000,515000
2413,hyundai eon,Manual,Petrol,Individual,First Owner,2016,30000,210000
2414,maruti alto,Manual,Petrol,Individual,Second Owner,2009,80000,140000
2415,toyota innova,Manual,Diesel,Individual,First Owner,2015,128000,940000
2416,nissan terrano,Manual,Diesel,Individual,First Owner,2013,80000,750000
2417,maruti baleno,Manual,Diesel,Individual,First Owner,2016,100000,610000
2418,nissan sunny,Manual,Diesel,Individual,First Owner,2015,50000,450000
2419,toyota etios,Manual,Diesel,Individual,First Owner,2012,56000,409999
2420,hyundai eon,Manual,Petrol,Individual,First Owner,2018,21302,100000
2421,hyundai i20,Manual,Diesel,Individual,First Owner,2016,100000,650000
2422,mahindra tuv,Manual,Diesel,Individual,First Owner,2017,80000,650000
2423,hyundai getz,Manual,Petrol,Individual,First Owner,2010,105546,150000
2424,toyota etios,Manual,Petrol,Individual,First Owner,2018,10000,500000
2425,toyota innova,Manual,Diesel,Individual,Second Owner,2012,80000,1000000
2426,hyundai i20,Manual,Petrol,Individual,First Owner,2013,35000,340000
2427,hyundai elite,Manual,Petrol,Individual,First Owner,2019,11240,800000
2428,toyota innova,Manual,Diesel,Individual,First Owner,2013,120000,1010000
2429,toyota etios,Manual,Diesel,Individual,Third Owner,2011,120000,350000
2430,maruti swift,Manual,Diesel,Individual,First Owner,2016,70000,595000
2431,mahindra scorpio,Manual,Diesel,Individual,Third Owner,2014,130000,700000
2432,renault kwid,Manual,Petrol,Individual,First Owner,2019,40000,265000
2433,maruti alto,Manual,Petrol,Individual,Second Owner,2015,60000,320000
2434,honda city,Manual,Petrol,Individual,First Owner,2011,110000,310000
2435,honda city,Manual,Diesel,Individual,First Owner,2014,130000,700000
2436,maruti alto,Manual,Petrol,Individual,Second Owner,2009,80000,130000
2437,maruti swift,Manual,Diesel,Individual,Second Owner,2009,120000,150000
2438,honda amaze,Manual,Diesel,Individual,Second Owner,2015,104000,300000
2439,maruti swift,Manual,Petrol,Individual,Second Owner,2011,100000,150000
2440,honda city,Manual,Petrol,Individual,Second Owner,2003,132343,120000
2441,hyundai creta,Manual,Diesel,Individual,Second Owner,2016,90000,950000
2442,maruti wagon,Manual,Petrol,Individual,Second Owner,2007,60000,100000
2443,honda jazz,Manual,Diesel,Individual,First Owner,2015,76000,450000
2444,maruti 800,Manual,Petrol,Individual,Third Owner,2004,60000,30000
2445,mahindra renault,Manual,Petrol,Individual,Second Owner,2009,30000,200000
2446,tata indigo,Manual,Diesel,Individual,Second Owner,2010,96000,250000
2447,mahindra marazzo,Manual,Diesel,Individual,First Owner,2018,10000,1300000
2448,toyota etios,Manual,Diesel,Dealer,First Owner,2017,36000,425000
2449,honda amaze,Manual,Diesel,Dealer,First Owner,2017,12997,550000
2450,maruti ciaz,Automatic,Petrol,Individual,First Owner,2017,40000,500000
2451,hyundai verna,Manual,Diesel,Dealer,First Owner,2018,26430,1150000
2452,maruti swift,Manual,Petrol,Dealer,First Owner,2015,24600,475000
2453,maruti wagon,Manual,Petrol,Dealer,First Owner,2011,28481,260000
2454,ford ecosport,Manual,Petrol,Individual,First Owner,2013,100000,350000
2455,mahindra xuv500,Manual,Diesel,Dealer,First Owner,2013,41988,750000
2456,maruti wagon,Manual,Petrol,Dealer,First Owner,2009,30375,180000
2457,renault kwid,Automatic,Petrol,Dealer,First Owner,2017,7658,350000
2458,maruti swift,Manual,Diesel,Dealer,First Owner,2017,34400,611000
2459,renault kwid,Manual,Petrol,Dealer,First Owner,2017,18500,325000
2460,maruti alto,Manual,Petrol,Dealer,First Owner,2015,26134,280000
2461,maruti wagon,Automatic,Petrol,Dealer,First Owner,2014,28942,300000
2462,mahindra xuv500,Manual,Diesel,Dealer,First Owner,2012,53600,711000
2463,toyota innova,Manual,Diesel,Dealer,First Owner,2015,53652,851000
2464,maruti ritz,Manual,Diesel,Dealer,First Owner,2011,52895,260000
2465,hyundai verna,Manual,Diesel,Dealer,Second Owner,2013,42324,550000
2466,mahindra xuv500,Manual,Diesel,Dealer,First Owner,2016,65000,1044999
2467,mahindra scorpio,Manual,Diesel,Dealer,First Owner,2012,60236,550000
2468,maruti wagon,Manual,Petrol,Individual,Second Owner,2014,70000,210000
2469,maruti wagon,Manual,Petrol,Individual,Third Owner,2014,70000,210000
